球员,位置,OVR,来源队(最多3),类别
Don Ohl,PG/SG,87,ALL-TIME All-Time Washington Wizards,allTime
Austin Carr,SG,86,ALL-TIME All-Time Cleveland Cavaliers,allTime
Eddie Johnson,SG/SF,86,ALL-TIME All-Time Sacramento Kings,allTime
James Silas,SG,86,ALL-TIME All-Time San Antonio Spurs,allTime
Jack Marin,SF/SG,86,ALL-TIME All-Time Washington Wizards,allTime
Alvan Adams,C/PF,85,ALL-TIME All-Time Phoenix Suns,allTime
Jim Chones,C/PF,84,ALL-TIME All-Time Cleveland Cavaliers,allTime
Swen Nater,C/PF,84,ALL-TIME All-Time Los Angeles Clippers,allTime
Rudy LaRusso,PF/C,82,CLASSIC 1964-65 Lakers,classic
Andre Iguodala,,82,CLASSIC 2016-17 Warriors | CLASSIC 2015-16 Warriors,classic
Henry Bibby,PG/SG,80,CLASSIC 1976-77 76ers,classic
Dick Barnett,,80,CLASSIC 1971-72 Knicks | CLASSIC 1964-65 Lakers,classic
Moussa Diabate,C/PF,80,CURRENT Charlotte Hornets,current(2026新秀)
Darryn Peterson,PG/SG,79,CURRENT Utah Jazz,current(2026新秀)
AJ Dybantsa,SF,79,CURRENT Washington Wizards,current(2026新秀)
JaVale McGee,,78,CLASSIC 2016-17 Warriors,classic
Caldwell Jones,C,77,CLASSIC 1976-77 76ers,classic
Caleb Wilson,PF/C,77,CURRENT Chicago Bulls,current(2026新秀)
Darryl Dawkins,C,74,CLASSIC 1976-77 76ers,classic
Greg Smith,PF/SF,74,CLASSIC 1970-71 Bucks,classic
Phil Jackson,PF/C,74,CLASSIC 1971-72 Knicks,classic
Wes Matthews,,74,CLASSIC 1986-87 Lakers,classic
Mikel Brown Jr.,PG,74,CURRENT Brooklyn Nets,current(2026新秀)
Kevin Grevey,SF,73,CLASSIC 1984-85 Bucks,classic
Joe Bryant,SF/PF,71,CLASSIC 1976-77 76ers,classic
Dick Cunningham,C/PF,71,CLASSIC 1970-71 Bucks,classic
Jeff Ayres,PF,71,CLASSIC 2013-14 Spurs | CLASSIC 2009-10 Trail Blazers,classic
Jaren Jackson,SG/SF,71,CLASSIC 1997-98 Spurs,classic
Monty Williams,SF/PF,70,CLASSIC 1994-95 Knicks | CLASSIC 1997-98 Spurs,classic
Gary Trent,C/PF,68,CLASSIC 2003-04 Timberwolves,classic
Jim King,PG/SG,67,CLASSIC 1964-65 Lakers,classic
Wang Zhizhi,PF/C,,1999 Draft Class 达拉斯小牛,manual
